ward,precinct,office,district,party,candidate,votes
4,58,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,448
4,58,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,556
4,58,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,30
4,58,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
4,58,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,269
4,58,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,1403
4,58,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,29
4,58,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,58,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,308
4,58,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,Ron Harden,178
4,58,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,Brenda Parks,477
4,58,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,WRITE-IN,11
4,58,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,,OVER VOTES,0
4,58,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,,UNDER VOTES,104
4,58,ANC - 4B05 SINGLE MEMBER DISTRICT 05-ANC 4B,,NON,Yolanda Hughes,578
4,58,ANC - 4B05 SINGLE MEMBER DISTRICT 05-ANC 4B,,NON,Perry Redd,214
4,58,ANC - 4B05 SINGLE MEMBER DISTRICT 05-ANC 4B,,NON,WRITE-IN,15
4,58,ANC - 4B05 SINGLE MEMBER DISTRICT 05-ANC 4B,,,OVER VOTES,0
4,58,ANC - 4B05 SINGLE MEMBER DISTRICT 05-ANC 4B,,,UNDER VOTES,108
4,58,ANC - 4D01 SINGLE MEMBER DISTRICT 01-ANC 4D,,NON,Nancy E. Roth,43
4,58,ANC - 4D01 SINGLE MEMBER DISTRICT 01-ANC 4D,,NON,WRITE-IN,0
4,58,ANC - 4D01 SINGLE MEMBER DISTRICT 01-ANC 4D,,,OVER VOTES,0
4,58,ANC - 4D01 SINGLE MEMBER DISTRICT 01-ANC 4D,,,UNDER VOTES,8
4,58,ANC - 4D02 SINGLE MEMBER DISTRICT 02-ANC 4D,,NON,Renͩe L. Bowser,2
4,58,ANC - 4D02 SINGLE MEMBER DISTRICT 02-ANC 4D,,NON,WRITE-IN,0
4,58,ANC - 4D02 SINGLE MEMBER DISTRICT 02-ANC 4D,,,OVER VOTES,0
4,58,ANC - 4D02 SINGLE MEMBER DISTRICT 02-ANC 4D,,,UNDER VOTES,2
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,19
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,37
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,58
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1878
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,29
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,4
4,59,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,9
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,92
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1833
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,61
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,12
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
4,59,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,36
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,70
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,217
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,225
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,83
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,761
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1687
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,23
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
4,59,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,996
4,59,WARD FOUR MEMBER OF THE COUNCIL,,DEM,Brandon Todd,1745
4,59,WARD FOUR MEMBER OF THE COUNCIL,,NON,WRITE-IN,117
4,59,WARD FOUR MEMBER OF THE COUNCIL,,,OVER VOTES,1
4,59,WARD FOUR MEMBER OF THE COUNCIL,,,UNDER VOTES,168
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,532
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,483
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,620
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,34
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
4,59,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,362
4,59,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,1615
4,59,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,43
4,59,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,59,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,373
4,59,ANC - 4B03 SINGLE MEMBER DISTRICT 03-ANC 4B,,NON,Scot Knickerbocker,1006
4,59,ANC - 4B03 SINGLE MEMBER DISTRICT 03-ANC 4B,,NON,WRITE-IN,38
4,59,ANC - 4B03 SINGLE MEMBER DISTRICT 03-ANC 4B,,,OVER VOTES,0
4,59,ANC - 4B03 SINGLE MEMBER DISTRICT 03-ANC 4B,,,UNDER VOTES,200
4,59,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,Ron Harden,85
4,59,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,Brenda Parks,288
4,59,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,NON,WRITE-IN,12
4,59,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,,OVER VOTES,0
4,59,ANC - 4B04 SINGLE MEMBER DISTRICT 04-ANC 4B,,,UNDER VOTES,62
4,59,ANC - 4B06 SINGLE MEMBER DISTRICT 06-ANC 4B,,NON,Natalee S. Snider,174
4,59,ANC - 4B06 SINGLE MEMBER DISTRICT 06-ANC 4B,,NON,Ron Austin,135
4,59,ANC - 4B06 SINGLE MEMBER DISTRICT 06-ANC 4B,,NON,WRITE-IN,1
4,59,ANC - 4B06 SINGLE MEMBER DISTRICT 06-ANC 4B,,,OVER VOTES,0
4,59,ANC - 4B06 SINGLE MEMBER DISTRICT 06-ANC 4B,,,UNDER VOTES,30
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,8
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,23
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,57
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1565
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,12
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,2
4,60,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,7
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,59
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1450
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,48
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,6
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
4,60,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,110
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,83
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,180
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,123
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,96
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,461
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1298
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,17
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,6
4,60,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1076
4,60,WARD FOUR MEMBER OF THE COUNCIL,,DEM,Brandon Todd,1423
4,60,WARD FOUR MEMBER OF THE COUNCIL,,NON,WRITE-IN,32
4,60,WARD FOUR MEMBER OF THE COUNCIL,,,OVER VOTES,1
4,60,WARD FOUR MEMBER OF THE COUNCIL,,,UNDER VOTES,214
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,420
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,367
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,518
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,16
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
4,60,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,347
4,60,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,1247
4,60,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,20
4,60,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,60,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,403
4,60,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,Michael Bethea,170
4,60,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,Patience R. Singleton,283
4,60,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,WRITE-IN,4
4,60,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,,OVER VOTES,1
4,60,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,,UNDER VOTES,67
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,NON,Kolleen Bouchane,103
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,NON,Deborah Pope,328
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,NON,"Stacey ""San"" Lucien",79
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,NON,WRITE-IN,11
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,,OVER VOTES,0
4,60,ANC - 4A05 SINGLE MEMBER DISTRICT 05-ANC 4A,,,UNDER VOTES,163
4,60,ANC - 4A06 SINGLE MEMBER DISTRICT 06-ANC 4A,,NON,Karrye Y. Braxton,195
4,60,ANC - 4A06 SINGLE MEMBER DISTRICT 06-ANC 4A,,NON,WRITE-IN,7
4,60,ANC - 4A06 SINGLE MEMBER DISTRICT 06-ANC 4A,,,OVER VOTES,0
4,60,ANC - 4A06 SINGLE MEMBER DISTRICT 06-ANC 4A,,,UNDER VOTES,69
4,60,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,NON,David Wilson,133
4,60,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,NON,WRITE-IN,1
4,60,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,,OVER VOTES,0
4,60,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,,UNDER VOTES,56
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,6
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,24
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,49
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1242
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,11
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
4,61,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,7
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,50
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1198
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,42
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,4
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
4,61,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,44
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,69
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,136
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,110
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,70
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,441
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1095
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,18
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,4
4,61,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,733
4,61,WARD FOUR MEMBER OF THE COUNCIL,,DEM,Brandon Todd,1182
4,61,WARD FOUR MEMBER OF THE COUNCIL,,NON,WRITE-IN,32
4,61,WARD FOUR MEMBER OF THE COUNCIL,,,OVER VOTES,1
4,61,WARD FOUR MEMBER OF THE COUNCIL,,,UNDER VOTES,123
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,324
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,332
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,441
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,14
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
4,61,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,227
4,61,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,1050
4,61,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,19
4,61,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,61,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,269
4,61,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,"Stephen A ""Steve"" Whatley",297
4,61,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,Rosemary Suggs-Evans,247
4,61,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,WRITE-IN,8
4,61,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,,OVER VOTES,0
4,61,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,,UNDER VOTES,97
4,61,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,Michael Bethea,232
4,61,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,Patience R. Singleton,288
4,61,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,NON,WRITE-IN,6
4,61,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,,OVER VOTES,0
4,61,ANC - 4A04 SINGLE MEMBER DISTRICT 04-ANC 4A,,,UNDER VOTES,60
4,61,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,NON,David Wilson,80
4,61,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,NON,WRITE-IN,3
4,61,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,,OVER VOTES,0
4,61,ANC - 4A07 SINGLE MEMBER DISTRICT 07-ANC 4A,,,UNDER VOTES,20
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,21
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,41
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,104
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2603
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,34
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
4,62,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,8
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,141
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2471
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,103
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,26
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
4,62,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,70
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,49
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,227
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,261
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,139
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1268
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2362
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,40
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
4,62,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1258
4,62,WARD FOUR MEMBER OF THE COUNCIL,,DEM,Brandon Todd,2411
4,62,WARD FOUR MEMBER OF THE COUNCIL,,NON,WRITE-IN,145
4,62,WARD FOUR MEMBER OF THE COUNCIL,,,OVER VOTES,1
4,62,WARD FOUR MEMBER OF THE COUNCIL,,,UNDER VOTES,245
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,913
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,577
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,688
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,56
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
4,62,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,566
4,62,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,2179
4,62,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,55
4,62,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,62,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,568
4,62,ANC - 4A01 SINGLE MEMBER DISTRICT 01-ANC 4A,,NON,Phyllis C. Green,683
4,62,ANC - 4A01 SINGLE MEMBER DISTRICT 01-ANC 4A,,NON,Acqunetta Anderson,398
4,62,ANC - 4A01 SINGLE MEMBER DISTRICT 01-ANC 4A,,NON,WRITE-IN,13
4,62,ANC - 4A01 SINGLE MEMBER DISTRICT 01-ANC 4A,,,OVER VOTES,0
4,62,ANC - 4A01 SINGLE MEMBER DISTRICT 01-ANC 4A,,,UNDER VOTES,135
4,62,ANC - 4A02 SINGLE MEMBER DISTRICT 02-ANC 4A,,NON,Stacey Lincoln,1051
4,62,ANC - 4A02 SINGLE MEMBER DISTRICT 02-ANC 4A,,NON,WRITE-IN,138
4,62,ANC - 4A02 SINGLE MEMBER DISTRICT 02-ANC 4A,,,OVER VOTES,0
4,62,ANC - 4A02 SINGLE MEMBER DISTRICT 02-ANC 4A,,,UNDER VOTES,207
4,62,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,"Stephen A ""Steve"" Whatley",107
4,62,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,Rosemary Suggs-Evans,62
4,62,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,NON,WRITE-IN,0
4,62,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,,OVER VOTES,0
4,62,ANC - 4A03 SINGLE MEMBER DISTRICT 03-ANC 4A,,,UNDER VOTES,8
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,23
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,77
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,83
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2828
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,38
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
4,63,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,177
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2679
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,92
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,16
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
4,63,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,90
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,97
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,246
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,383
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,130
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1263
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2413
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,45
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
4,63,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1507
4,63,WARD FOUR MEMBER OF THE COUNCIL,,DEM,Brandon Todd,2560
4,63,WARD FOUR MEMBER OF THE COUNCIL,,NON,WRITE-IN,187
4,63,WARD FOUR MEMBER OF THE COUNCIL,,,OVER VOTES,0
4,63,WARD FOUR MEMBER OF THE COUNCIL,,,UNDER VOTES,295
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,924
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,588
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,853
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,63
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,3
4,63,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,611
4,63,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,Lannette Woodruff,2335
4,63,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,NON,WRITE-IN,63
4,63,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,OVER VOTES,0
4,63,WARD FOUR MEMBER STATE BOARD OF EDUCATION,,,UNDER VOTES,644
4,63,ANC - 4B01 SINGLE MEMBER DISTRICT 01-ANC 4B,,NON,Hashim Coward,492
4,63,ANC - 4B01 SINGLE MEMBER DISTRICT 01-ANC 4B,,NON,Andre R. Carley,554
