county,office,district,town,precinct,candidate,party,votes,state_election_id
Orange,Governor,,Williamstown,,Phil Scott,Republican,1164,82051
Chittenden,Governor,,Williston,,Phil Scott,Republican,3153,82051
Windham,Governor,,Wilmington,,Phil Scott,Republican,470,82051
Windham,Governor,,Windham,,Phil Scott,Republican,195,82051
Windsor,Governor,,Windsor,,Phil Scott,Republican,734,82051
Bennington,Governor,,Winhall,,Phil Scott,Republican,281,82051
Chittenden,Governor,,Winooski,,Phil Scott,Republican,1057,82051
Lamoille,Governor,,Wolcott,,Phil Scott,Republican,477,82051
Washington,Governor,,Woodbury,,Phil Scott,Republican,305,82051
Bennington,Governor,,Woodford,,Phil Scott,Republican,85,82051
Windsor,Governor,,Woodstock,,Phil Scott,Republican,792,82051
Washington,Governor,,Worcester,,Phil Scott,Republican,277,82051
Addison,Governor,,Addison,,Sue Minter,Democratic,196,82051
Orleans,Governor,,Albany,,Sue Minter,Democratic,114,82051
Grand Isle,Governor,,Alburgh,,Sue Minter,Democratic,278,82051
Windsor,Governor,,Andover,,Sue Minter,Democratic,134,82051
Bennington,Governor,,Arlington,,Sue Minter,Democratic,543,82051
Windham,Governor,,Athens,,Sue Minter,Democratic,71,82051
Franklin,Governor,,Bakersfield,,Sue Minter,Democratic,186,82051
Windsor,Governor,,Baltimore,,Sue Minter,Democratic,44,82051
Windsor,Governor,,Barnard,,Sue Minter,Democratic,268,82051
Caledonia,Governor,,Barnet,,Sue Minter,Democratic,367,82051
Washington,Governor,,Barre City,,Sue Minter,Democratic,1043,82051
Washington,Governor,,Barre Town,,Sue Minter,Democratic,909,82051
Orleans,Governor,,Barton,,Sue Minter,Democratic,299,82051
Lamoille,Governor,,Belvidere,,Sue Minter,Democratic,40,82051
Bennington,Governor,,Bennington,Bennington 2-1,Sue Minter,Democratic,1627,82051
Bennington,Governor,,Bennington,Bennington 2-2,Sue Minter,Democratic,1490,82051
Rutland,Governor,,Benson,,Sue Minter,Democratic,166,82051
Franklin,Governor,,Berkshire,,Sue Minter,Democratic,148,82051
Washington,Governor,,Berlin,,Sue Minter,Democratic,406,82051
Windsor,Governor,,Bethel,,Sue Minter,Democratic,423,82051
Essex,Governor,,Bloomfield,,Sue Minter,Democratic,36,82051
Chittenden,Governor,,Bolton,,Sue Minter,Democratic,312,82051
Orange,Governor,,Bradford,,Sue Minter,Democratic,514,82051
Orange,Governor,,Braintree,,Sue Minter,Democratic,253,82051
Rutland,Governor,,Brandon,,Sue Minter,Democratic,671,82051
Windham,Governor,,Brattleboro,Windham 2-1,Sue Minter,Democratic,1417,82051
Windham,Governor,,Brattleboro,Windham 2-2,Sue Minter,Democratic,1418,82051
Windham,Governor,,Brattleboro,Windham 2-3,Sue Minter,Democratic,1451,82051
Windsor,Governor,,Bridgewater,,Sue Minter,Democratic,227,82051
Addison,Governor,,Bridport,,Sue Minter,Democratic,204,82051
Essex,Governor,,Brighton,,Sue Minter,Democratic,137,82051
Addison,Governor,,Bristol,,Sue Minter,Democratic,858,82051
Orange,Governor,,Brookfield,,Sue Minter,Democratic,287,82051
Windham,Governor,,Brookline,,Sue Minter,Democratic,166,82051
Orleans,Governor,,Brownington,,Sue Minter,Democratic,109,82051
Essex,Governor,,Brunswick,,Sue Minter,Democratic,10,82051
Caledonia,Governor,,Burke,,Sue Minter,Democratic,256,82051
Chittenden,Governor,,Burlington,Chittenden 6-1,Sue Minter,Democratic,2476,82051
Chittenden,Governor,,Burlington,Chittenden 6-2,Sue Minter,Democratic,1558,82051
Chittenden,Governor,,Burlington,Chittenden 6-3,Sue Minter,Democratic,2729,82051
Chittenden,Governor,,Burlington,Chittenden 6-4,Sue Minter,Democratic,1837,82051
Chittenden,Governor,,Burlington,Chittenden 6-5,Sue Minter,Democratic,3451,82051
Chittenden,Governor,,Burlington,Chittenden 6-6,Sue Minter,Democratic,802,82051
Chittenden,Governor,,Burlington,Chittenden 6-7,Sue Minter,Democratic,93,82051
Washington,Governor,,Cabot,,Sue Minter,Democratic,333,82051
Washington,Governor,,Calais,,Sue Minter,Democratic,552,82051
Lamoille,Governor,,Cambridge,,Sue Minter,Democratic,808,82051
Essex,Governor,,Canaan,,Sue Minter,Democratic,127,82051
Rutland,Governor,,Castleton,,Sue Minter,Democratic,543,82051
Windsor,Governor,,Cavendish,,Sue Minter,Democratic,269,82051
Orleans,Governor,,Charleston,,Sue Minter,Democratic,136,82051
Chittenden,Governor,,Charlotte,,Sue Minter,Democratic,1346,82051
Orange,Governor,,Chelsea,,Sue Minter,Democratic,200,82051
Windsor,Governor,,Chester,,Sue Minter,Democratic,691,82051
Rutland,Governor,,Chittenden,,Sue Minter,Democratic,246,82051
Rutland,Governor,,Clarendon,,Sue Minter,Democratic,361,82051
Chittenden,Governor,,Colchester,Chittenden 9-1,Sue Minter,Democratic,1353,82051
Chittenden,Governor,,Colchester,Chittenden 9-2,Sue Minter,Democratic,1831,82051
Essex,Governor,,Concord,,Sue Minter,Democratic,130,82051
Orange,Governor,,Corinth,,Sue Minter,Democratic,265,82051
Addison,Governor,,Cornwall,,Sue Minter,Democratic,383,82051
Orleans,Governor,,Coventry,,Sue Minter,Democratic,135,82051
Orleans,Governor,,Craftsbury,,Sue Minter,Democratic,259,82051
Rutland,Governor,,Danby,,Sue Minter,Democratic,206,82051
Caledonia,Governor,,Danville,,Sue Minter,Democratic,411,82051
Orleans,Governor,,Derby,,Sue Minter,Democratic,527,82051
Bennington,Governor,,Dorset,,Sue Minter,Democratic,506,82051
Windham,Governor,,Dover,,Sue Minter,Democratic,357,82051
Windham,Governor,,Dummerston,,Sue Minter,Democratic,754,82051
Washington,Governor,,Duxbury,,Sue Minter,Democratic,305,82051
Essex,Governor,,East Haven,,Sue Minter,Democratic,34,82051
Washington,Governor,,East Montpelier,,Sue Minter,Democratic,794,82051
Lamoille,Governor,,Eden,,Sue Minter,Democratic,141,82051
Lamoille,Governor,,Elmore,,Sue Minter,Democratic,254,82051
Franklin,Governor,,Enosburgh,,Sue Minter,Democratic,375,82051
Chittenden,Governor,,Essex,Chittenden 8-1,Sue Minter,Democratic,2022,82051
Chittenden,Governor,,Essex,Chittenden 8-2,Sue Minter,Democratic,2260,82051
Chittenden,Governor,,Essex,Chittenden 8-3,Sue Minter,Democratic,582,82051
Rutland,Governor,,Fair Haven,,Sue Minter,Democratic,361,82051
Franklin,Governor,,Fairfax,,Sue Minter,Democratic,775,82051
Franklin,Governor,,Fairfield,,Sue Minter,Democratic,277,82051
Orange,Governor,,Fairlee,,Sue Minter,Democratic,285,82051
Washington,Governor,,Fayston,,Sue Minter,Democratic,423,82051
Addison,Governor,,Ferrisburgh,,Sue Minter,Democratic,613,82051
Franklin,Governor,,Fletcher,,Sue Minter,Democratic,261,82051
Franklin,Governor,,Franklin,,Sue Minter,Democratic,145,82051
Franklin,Governor,,Georgia,,Sue Minter,Democratic,640,82051
Orleans,Governor,,Glover,,Sue Minter,Democratic,168,82051
Addison,Governor,,Goshen,,Sue Minter,Democratic,66,82051
Windham,Governor,,Grafton,,Sue Minter,Democratic,144,82051
Essex,Governor,,Granby,,Sue Minter,Democratic,10,82051
Grand Isle,Governor,,Grand Isle,,Sue Minter,Democratic,387,82051
Addison,Governor,,Granville,,Sue Minter,Democratic,82,82051
Orleans,Governor,,Greensboro,,Sue Minter,Democratic,182,82051
Caledonia,Governor,,Groton,,Sue Minter,Democratic,123,82051
Essex,Governor,,Guildhall,,Sue Minter,Democratic,51,82051
Windham,Governor,,Guilford,,Sue Minter,Democratic,729,82051
Windham,Governor,,Halifax,,Sue Minter,Democratic,205,82051
Addison,Governor,,Hancock,,Sue Minter,Democratic,58,82051
Caledonia,Governor,,Hardwick,,Sue Minter,Democratic,461,82051
Windsor,Governor,,Hartford,Windsor 4-1,Sue Minter,Democratic,608,82051
Windsor,Governor,,Hartford,Windsor 4-2,Sue Minter,Democratic,2165,82051
Windsor,Governor,,Hartland,,Sue Minter,Democratic,958,82051
Franklin,Governor,,Highgate,,Sue Minter,Democratic,303,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-1,Sue Minter,Democratic,14,82051
Chittenden,Governor,,Hinesburg,Chittenden 4-2,Sue Minter,Democratic,1345,82051
Orleans,Governor,,Holland,,Sue Minter,Democratic,55,82051
Rutland,Governor,,Hubbardton,,Sue Minter,Democratic,141,82051
Chittenden,Governor,,Huntington,,Sue Minter,Democratic,702,82051
Lamoille,Governor,,Hyde Park,,Sue Minter,Democratic,533,82051
Rutland,Governor,,Ira,,Sue Minter,Democratic,68,82051
Orleans,Governor,,Irasburg,,Sue Minter,Democratic,109,82051
Grand Isle,Governor,,Isle La Motte,,Sue Minter,Democratic,92,82051
Windham,Governor,,Jamaica,,Sue Minter,Democratic,257,82051
Orleans,Governor,,Jay,,Sue Minter,Democratic,73,82051
Chittenden,Governor,,Jericho,,Sue Minter,Democratic,1548,82051
Lamoille,Governor,,Johnson,,Sue Minter,Democratic,535,82051
Rutland,Governor,,Killington,,Sue Minter,Democratic,248,82051
Caledonia,Governor,,Kirby,,Sue Minter,Democratic,91,82051
Bennington,Governor,,Landgrove,,Sue Minter,Democratic,49,82051
Addison,Governor,,Leicester,,Sue Minter,Democratic,152,82051
Essex,Governor,,Lemington,,Sue Minter,Democratic,12,82051
Addison,Governor,,Lincoln,,Sue Minter,Democratic,430,82051
Windham,Governor,,Londonderry,,Sue Minter,Democratic,387,82051
Orleans,Governor,,Lowell,,Sue Minter,Democratic,75,82051
Windsor,Governor,,Ludlow,,Sue Minter,Democratic,468,82051
Essex,Governor,,Lunenburg,,Sue Minter,Democratic,121,82051
Caledonia,Governor,,Lyndon,,Sue Minter,Democratic,572,82051
Essex,Governor,,Maidstone,,Sue Minter,Democratic,33,82051
Bennington,Governor,,Manchester,,Sue Minter,Democratic,1084,82051
Windham,Governor,,Marlboro,,Sue Minter,Democratic,411,82051
Washington,Governor,,Marshfield,,Sue Minter,Democratic,367,82051
Rutland,Governor,,Mendon,,Sue Minter,Democratic,221,82051
Addison,Governor,,Middlebury,,Sue Minter,Democratic,2212,82051
Washington,Governor,,Middlesex,,Sue Minter,Democratic,582,82051
Rutland,Governor,,Middletown Springs,,Sue Minter,Democratic,198,82051
Chittenden,Governor,,Milton,Chittenden 10,Sue Minter,Democratic,1285,82051
Chittenden,Governor,,Milton,Grand Isle-Chittenden,Sue Minter,Democratic,199,82051
Addison,Governor,,Monkton,,Sue Minter,Democratic,480,82051
Franklin,Governor,,Montgomery,,Sue Minter,Democratic,267,82051
Washington,Governor,,Montpelier,,Sue Minter,Democratic,3172,82051
Washington,Governor,,Moretown,,Sue Minter,Democratic,462,82051
Orleans,Governor,,Morgan,,Sue Minter,Democratic,74,82051
Lamoille,Governor,,Morristown,,Sue Minter,Democratic,1095,82051
Rutland,Governor,,Mount Holly,,Sue Minter,Democratic,285,82051
Rutland,Governor,,Mount Tabor,,Sue Minter,Democratic,31,82051
Addison,Governor,,New Haven,,Sue Minter,Democratic,398,82051
Caledonia,Governor,,Newark,,Sue Minter,Democratic,79,82051
Orange,Governor,,Newbury,,Sue Minter,Democratic,446,82051
Windham,Governor,,Newfane,,Sue Minter,Democratic,643,82051
Orleans,Governor,,Newport City,,Sue Minter,Democratic,489,82051
Orleans,Governor,,Newport Town,,Sue Minter,Democratic,155,82051
Grand Isle,Governor,,North Hero,,Sue Minter,Democratic,201,82051
Washington,Governor,,Northfield,,Sue Minter,Democratic,718,82051
Essex,Governor,,Norton,,Sue Minter,Democratic,19,82051
Windsor,Governor,,Norwich,,Sue Minter,Democratic,1750,82051
Orange,Governor,,Orange,,Sue Minter,Democratic,116,82051
Addison,Governor,,Orwell,,Sue Minter,Democratic,172,82051
Addison,Governor,,Panton,,Sue Minter,Democratic,114,82051
Rutland,Governor,,Pawlet,,Sue Minter,Democratic,316,82051
Caledonia,Governor,,Peacham,,Sue Minter,Democratic,204,82051
Bennington,Governor,,Peru,,Sue Minter,Democratic,129,82051
Rutland,Governor,,Pittsfield,,Sue Minter,Democratic,120,82051
Rutland,Governor,,Pittsford,,Sue Minter,Democratic,431,82051
Washington,Governor,,Plainfield,,Sue Minter,Democratic,383,82051
Windsor,Governor,,Plymouth,,Sue Minter,Democratic,141,82051
Windsor,Governor,,Pomfret,,Sue Minter,Democratic,313,82051
Rutland,Governor,,Poultney,,Sue Minter,Democratic,516,82051
Bennington,Governor,,Pownal,,Sue Minter,Democratic,742,82051
Rutland,Governor,,Proctor,,Sue Minter,Democratic,269,82051
Windham,Governor,,Putney,,Sue Minter,Democratic,950,82051
Orange,Governor,,Randolph,,Sue Minter,Democratic,867,82051
Windsor,Governor,,Reading,,Sue Minter,Democratic,186,82051
Bennington,Governor,,Readsboro,,Sue Minter,Democratic,159,82051
Franklin,Governor,,Richford,,Sue Minter,Democratic,252,82051
Chittenden,Governor,,Richmond,,Sue Minter,Democratic,1302,82051
Addison,Governor,,Ripton,,Sue Minter,Democratic,201,82051
Windsor,Governor,,Rochester,,Sue Minter,Democratic,341,82051
Windham,Governor,,Rockingham,,Sue Minter,Democratic,1227,82051
Washington,Governor,,Roxbury,,Sue Minter,Democratic,149,82051
Windsor,Governor,,Royalton,,Sue Minter,Democratic,580,82051
Bennington,Governor,,Rupert,,Sue Minter,Democratic,175,82051
Rutland,Governor,,Rutland City,Rutland 5-1,Sue Minter,Democratic,788,82051
Rutland,Governor,,Rutland City,Rutland 5-2,Sue Minter,Democratic,692,82051
Rutland,Governor,,Rutland City,Rutland 5-3,Sue Minter,Democratic,482,82051
Rutland,Governor,,Rutland City,Rutland 5-4,Sue Minter,Democratic,649,82051
Rutland,Governor,,Rutland Town,,Sue Minter,Democratic,732,82051
Caledonia,Governor,,Ryegate,,Sue Minter,Democratic,169,82051
Addison,Governor,,Salisbury,,Sue Minter,Democratic,198,82051
Bennington,Governor,,Sandgate,,Sue Minter,Democratic,96,82051
Bennington,Governor,,Searsburg,,Sue Minter,Democratic,14,82051
Bennington,Governor,,Shaftsbury,,Sue Minter,Democratic,817,82051
Windsor,Governor,,Sharon,,Sue Minter,Democratic,358,82051
Caledonia,Governor,,Sheffield,,Sue Minter,Democratic,80,82051
Chittenden,Governor,,Shelburne,Chittenden 5-1,Sue Minter,Democratic,1509,82051
Chittenden,Governor,,Shelburne,Chittenden 5-2,Sue Minter,Democratic,1031,82051
Franklin,Governor,,Sheldon,,Sue Minter,Democratic,187,82051
Addison,Governor,,Shoreham,,Sue Minter,Democratic,262,82051
Rutland,Governor,,Shrewsbury,,Sue Minter,Democratic,279,82051
Chittenden,Governor,,South Burlington,Chittenden 7-1,Sue Minter,Democratic,1478,82051
Chittenden,Governor,,South Burlington,Chittenden 7-2,Sue Minter,Democratic,1443,82051
Chittenden,Governor,,South Burlington,Chittenden 7-3,Sue Minter,Democratic,1508,82051
Chittenden,Governor,,South Burlington,Chittenden 7-4,Sue Minter,Democratic,1157,82051
Grand Isle,Governor,,South Hero,,Sue Minter,Democratic,464,82051
Windsor,Governor,,Springfield,Windsor 3-1,Sue Minter,Democratic,58,82051
Windsor,Governor,,Springfield,Windsor 3-2,Sue Minter,Democratic,1520,82051
Franklin,Governor,,Saint Albans City,,Sue Minter,Democratic,976,82051
Franklin,Governor,,Saint Albans Town,Franklin 3-1,Sue Minter,Democratic,303,82051
Franklin,Governor,,Saint Albans Town,Franklin 3-2,Sue Minter,Democratic,600,82051
Chittenden,Governor,,Saint George,,Sue Minter,Democratic,134,82051
Caledonia,Governor,,Saint Johnsbury,,Sue Minter,Democratic,1034,82051
Bennington,Governor,,Stamford,,Sue Minter,Democratic,192,82051
Caledonia,Governor,,Stannard,,Sue Minter,Democratic,45,82051
Addison,Governor,,Starksboro,,Sue Minter,Democratic,445,82051
Windsor,Governor,,Stockbridge,,Sue Minter,Democratic,171,82051
Lamoille,Governor,,Stowe,,Sue Minter,Democratic,1421,82051
Orange,Governor,,Strafford,,Sue Minter,Democratic,439,82051
Windham,Governor,,Stratton,,Sue Minter,Democratic,45,82051
Rutland,Governor,,Sudbury,,Sue Minter,Democratic,118,82051
Bennington,Governor,,Sunderland,Bennington 3,Sue Minter,Democratic,50,82051
Bennington,Governor,,Sunderland,Bennington 4,Sue Minter,Democratic,164,82051
Caledonia,Governor,,Sutton,,Sue Minter,Democratic,108,82051
Franklin,Governor,,Swanton,,Sue Minter,Democratic,730,82051
Orange,Governor,,Thetford,,Sue Minter,Democratic,1011,82051
Rutland,Governor,,Tinmouth,Rutland 2,Sue Minter,Democratic,31,82051
Rutland,Governor,,Tinmouth,Rutland-Bennington,Sue Minter,Democratic,94,82051
Orange,Governor,,Topsham,,Sue Minter,Democratic,146,82051
Windham,Governor,,Townshend,,Sue Minter,Democratic,348,82051
Orleans,Governor,,Troy,Orleans 2,Sue Minter,Democratic,46,82051
Orleans,Governor,,Troy,Orleans-Lamoille,Sue Minter,Democratic,134,82051
Orange,Governor,,Tunbridge,,Sue Minter,Democratic,286,82051
Chittenden,Governor,,Underhill,,Sue Minter,Democratic,936,82051
Addison,Governor,,Vergennes,,Sue Minter,Democratic,543,82051
Windham,Governor,,Vernon,,Sue Minter,Democratic,387,82051
Orange,Governor,,Vershire,,Sue Minter,Democratic,165,82051
Essex,Governor,,Victory,,Sue Minter,Democratic,16,82051
Washington,Governor,,Waitsfield,,Sue Minter,Democratic,573,82051
Caledonia,Governor,,Walden,,Sue Minter,Democratic,185,82051
Rutland,Governor,,Wallingford,,Sue Minter,Democratic,399,82051
Addison,Governor,,Waltham,,Sue Minter,Democratic,108,82051
Windham,Governor,,Wardsboro,,Sue Minter,Democratic,189,82051
Washington,Governor,,Warren,,Sue Minter,Democratic,611,82051
Orange,Governor,,Washington,,Sue Minter,Democratic,133,82051
Washington,Governor,,Waterbury,,Sue Minter,Democratic,1465,82051
Caledonia,Governor,,Waterford,,Sue Minter,Democratic,183,82051
Lamoille,Governor,,Waterville,,Sue Minter,Democratic,120,82051
Windsor,Governor,,Weathersfield,,Sue Minter,Democratic,610,82051
Rutland,Governor,,Wells,,Sue Minter,Democratic,181,82051
Orange,Governor,,West Fairlee,,Sue Minter,Democratic,127,82051
Rutland,Governor,,West Haven,,Sue Minter,Democratic,35,82051
Rutland,Governor,,West Rutland,,Sue Minter,Democratic,277,82051
Windsor,Governor,,West Windsor,,Sue Minter,Democratic,343,82051
Orleans,Governor,,Westfield,,Sue Minter,Democratic,98,82051
Chittenden,Governor,,Westford,,Sue Minter,Democratic,494,82051
Windham,Governor,,Westminster,Windham 3,Sue Minter,Democratic,40,82051
Windham,Governor,,Westminster,Windham 4,Sue Minter,Democratic,918,82051
Orleans,Governor,,Westmore,,Sue Minter,Democratic,62,82051
Windsor,Governor,,Weston,,Sue Minter,Democratic,210,82051
Addison,Governor,,Weybridge,,Sue Minter,Democratic,338,82051
Caledonia,Governor,,Wheelock,,Sue Minter,Democratic,126,82051
Addison,Governor,,Whiting,,Sue Minter,Democratic,63,82051
Windham,Governor,,Whitingham,Windham 6,Sue Minter,Democratic,237,82051
Windham,Governor,,Whitingham,Windham-Bennington,Sue Minter,Democratic,16,82051
Orange,Governor,,Williamstown,,Sue Minter,Democratic,361,82051
Chittenden,Governor,,Williston,,Sue Minter,Democratic,2371,82051
Windham,Governor,,Wilmington,,Sue Minter,Democratic,530,82051
Windham,Governor,,Windham,,Sue Minter,Democratic,75,82051
Windsor,Governor,,Windsor,,Sue Minter,Democratic,858,82051
Bennington,Governor,,Winhall,,Sue Minter,Democratic,220,82051
Chittenden,Governor,,Winooski,,Sue Minter,Democratic,1885,82051
Lamoille,Governor,,Wolcott,,Sue Minter,Democratic,295,82051
Washington,Governor,,Woodbury,,Sue Minter,Democratic,204,82051
Bennington,Governor,,Woodford,,Sue Minter,Democratic,83,82051
Windsor,Governor,,Woodstock,,Sue Minter,Democratic,1048,82051
Washington,Governor,,Worcester,,Sue Minter,Democratic,305,82051
Addison,Governor,,Addison,,Bill. Spaceman. Lee,Liberty Union,11,82051
Orleans,Governor,,Albany,,Bill. Spaceman. Lee,Liberty Union,22,82051
Grand Isle,Governor,,Alburgh,,Bill. Spaceman. Lee,Liberty Union,31,82051
Windsor,Governor,,Andover,,Bill. Spaceman. Lee,Liberty Union,9,82051
Bennington,Governor,,Arlington,,Bill. Spaceman. Lee,Liberty Union,47,82051
Windham,Governor,,Athens,,Bill. Spaceman. Lee,Liberty Union,13,82051
Franklin,Governor,,Bakersfield,,Bill. Spaceman. Lee,Liberty Union,25,82051
Windsor,Governor,,Baltimore,,Bill. Spaceman. Lee,Liberty Union,3,82051
Windsor,Governor,,Barnard,,Bill. Spaceman. Lee,Liberty Union,21,82051
Caledonia,Governor,,Barnet,,Bill. Spaceman. Lee,Liberty Union,37,82051
Washington,Governor,,Barre City,,Bill. Spaceman. Lee,Liberty Union,83,82051
Washington,Governor,,Barre Town,,Bill. Spaceman. Lee,Liberty Union,59,82051
Orleans,Governor,,Barton,,Bill. Spaceman. Lee,Liberty Union,38,82051
Lamoille,Governor,,Belvidere,,Bill. Spaceman. Lee,Liberty Union,6,82051
Bennington,Governor,,Bennington,Bennington 2-1,Bill. Spaceman. Lee,Liberty Union,130,82051
Bennington,Governor,,Bennington,Bennington 2-2,Bill. Spaceman. Lee,Liberty Union,113,82051
Rutland,Governor,,Benson,,Bill. Spaceman. Lee,Liberty Union,13,82051
Franklin,Governor,,Berkshire,,Bill. Spaceman. Lee,Liberty Union,20,82051
Washington,Governor,,Berlin,,Bill. Spaceman. Lee,Liberty Union,25,82051
Windsor,Governor,,Bethel,,Bill. Spaceman. Lee,Liberty Union,31,82051
Essex,Governor,,Bloomfield,,Bill. Spaceman. Lee,Liberty Union,2,82051
Chittenden,Governor,,Bolton,,Bill. Spaceman. Lee,Liberty Union,11,82051
Orange,Governor,,Bradford,,Bill. Spaceman. Lee,Liberty Union,29,82051
Orange,Governor,,Braintree,,Bill. Spaceman. Lee,Liberty Union,20,82051
Rutland,Governor,,Brandon,,Bill. Spaceman. Lee,Liberty Union,47,82051
Windham,Governor,,Brattleboro,Windham 2-1,Bill. Spaceman. Lee,Liberty Union,72,82051
Windham,Governor,,Brattleboro,Windham 2-2,Bill. Spaceman. Lee,Liberty Union,85,82051
Windham,Governor,,Brattleboro,Windham 2-3,Bill. Spaceman. Lee,Liberty Union,76,82051
Windsor,Governor,,Bridgewater,,Bill. Spaceman. Lee,Liberty Union,21,82051
Addison,Governor,,Bridport,,Bill. Spaceman. Lee,Liberty Union,10,82051
Essex,Governor,,Brighton,,Bill. Spaceman. Lee,Liberty Union,26,82051
Addison,Governor,,Bristol,,Bill. Spaceman. Lee,Liberty Union,49,82051
Orange,Governor,,Brookfield,,Bill. Spaceman. Lee,Liberty Union,23,82051
Windham,Governor,,Brookline,,Bill. Spaceman. Lee,Liberty Union,4,82051
Orleans,Governor,,Brownington,,Bill. Spaceman. Lee,Liberty Union,13,82051
Essex,Governor,,Brunswick,,Bill. Spaceman. Lee,Liberty Union,1,82051
Caledonia,Governor,,Burke,,Bill. Spaceman. Lee,Liberty Union,22,82051
Chittenden,Governor,,Burlington,Chittenden 6-1,Bill. Spaceman. Lee,Liberty Union,118,82051
Chittenden,Governor,,Burlington,Chittenden 6-2,Bill. Spaceman. Lee,Liberty Union,63,82051
Chittenden,Governor,,Burlington,Chittenden 6-3,Bill. Spaceman. Lee,Liberty Union,173,82051
Chittenden,Governor,,Burlington,Chittenden 6-4,Bill. Spaceman. Lee,Liberty Union,79,82051
Chittenden,Governor,,Burlington,Chittenden 6-5,Bill. Spaceman. Lee,Liberty Union,136,82051
Chittenden,Governor,,Burlington,Chittenden 6-6,Bill. Spaceman. Lee,Liberty Union,37,82051
Chittenden,Governor,,Burlington,Chittenden 6-7,Bill. Spaceman. Lee,Liberty Union,4,82051
Washington,Governor,,Cabot,,Bill. Spaceman. Lee,Liberty Union,29,82051
Washington,Governor,,Calais,,Bill. Spaceman. Lee,Liberty Union,28,82051
Lamoille,Governor,,Cambridge,,Bill. Spaceman. Lee,Liberty Union,56,82051
Essex,Governor,,Canaan,,Bill. Spaceman. Lee,Liberty Union,13,82051
Rutland,Governor,,Castleton,,Bill. Spaceman. Lee,Liberty Union,78,82051
Windsor,Governor,,Cavendish,,Bill. Spaceman. Lee,Liberty Union,24,82051
Orleans,Governor,,Charleston,,Bill. Spaceman. Lee,Liberty Union,24,82051
Chittenden,Governor,,Charlotte,,Bill. Spaceman. Lee,Liberty Union,36,82051
Orange,Governor,,Chelsea,,Bill. Spaceman. Lee,Liberty Union,10,82051
Windsor,Governor,,Chester,,Bill. Spaceman. Lee,Liberty Union,50,82051
Rutland,Governor,,Chittenden,,Bill. Spaceman. Lee,Liberty Union,22,82051
Rutland,Governor,,Clarendon,,Bill. Spaceman. Lee,Liberty Union,26,82051
Chittenden,Governor,,Colchester,Chittenden 9-1,Bill. Spaceman. Lee,Liberty Union,63,82051
Chittenden,Governor,,Colchester,Chittenden 9-2,Bill. Spaceman. Lee,Liberty Union,114,82051
Essex,Governor,,Concord,,Bill. Spaceman. Lee,Liberty Union,28,82051
Orange,Governor,,Corinth,,Bill. Spaceman. Lee,Liberty Union,23,82051
Addison,Governor,,Cornwall,,Bill. Spaceman. Lee,Liberty Union,12,82051
Orleans,Governor,,Coventry,,Bill. Spaceman. Lee,Liberty Union,9,82051
Orleans,Governor,,Craftsbury,,Bill. Spaceman. Lee,Liberty Union,43,82051
Rutland,Governor,,Danby,,Bill. Spaceman. Lee,Liberty Union,27,82051
Caledonia,Governor,,Danville,,Bill. Spaceman. Lee,Liberty Union,23,82051
Orleans,Governor,,Derby,,Bill. Spaceman. Lee,Liberty Union,64,82051
Bennington,Governor,,Dorset,,Bill. Spaceman. Lee,Liberty Union,23,82051
Windham,Governor,,Dover,,Bill. Spaceman. Lee,Liberty Union,28,82051
Windham,Governor,,Dummerston,,Bill. Spaceman. Lee,Liberty Union,40,82051
Washington,Governor,,Duxbury,,Bill. Spaceman. Lee,Liberty Union,19,82051
Essex,Governor,,East Haven,,Bill. Spaceman. Lee,Liberty Union,5,82051
Washington,Governor,,East Montpelier,,Bill. Spaceman. Lee,Liberty Union,25,82051
Lamoille,Governor,,Eden,,Bill. Spaceman. Lee,Liberty Union,20,82051
Lamoille,Governor,,Elmore,,Bill. Spaceman. Lee,Liberty Union,15,82051
Franklin,Governor,,Enosburgh,,Bill. Spaceman. Lee,Liberty Union,44,82051
Chittenden,Governor,,Essex,Chittenden 8-1,Bill. Spaceman. Lee,Liberty Union,80,82051
Chittenden,Governor,,Essex,Chittenden 8-2,Bill. Spaceman. Lee,Liberty Union,94,82051
Chittenden,Governor,,Essex,Chittenden 8-3,Bill. Spaceman. Lee,Liberty Union,16,82051
Rutland,Governor,,Fair Haven,,Bill. Spaceman. Lee,Liberty Union,38,82051
Franklin,Governor,,Fairfax,,Bill. Spaceman. Lee,Liberty Union,57,82051
Franklin,Governor,,Fairfield,,Bill. Spaceman. Lee,Liberty Union,22,82051
Orange,Governor,,Fairlee,,Bill. Spaceman. Lee,Liberty Union,19,82051
Washington,Governor,,Fayston,,Bill. Spaceman. Lee,Liberty Union,18,82051
Addison,Governor,,Ferrisburgh,,Bill. Spaceman. Lee,Liberty Union,42,82051
Franklin,Governor,,Fletcher,,Bill. Spaceman. Lee,Liberty Union,13,82051
Franklin,Governor,,Franklin,,Bill. Spaceman. Lee,Liberty Union,15,82051
Franklin,Governor,,Georgia,,Bill. Spaceman. Lee,Liberty Union,44,82051
Orleans,Governor,,Glover,,Bill. Spaceman. Lee,Liberty Union,35,82051
Addison,Governor,,Goshen,,Bill. Spaceman. Lee,Liberty Union,6,82051
Windham,Governor,,Grafton,,Bill. Spaceman. Lee,Liberty Union,13,82051
Essex,Governor,,Granby,,Bill. Spaceman. Lee,Liberty Union,0,82051
